Id,urls,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
norskov,https://www.norskov.dk/miljo https://www.norskov.dk/miljo ,Danish,0.00030534351146731915,0.0003053435114513508,0.00030534351146589114,0.0003053435114627114,0.0003053435114632242,0.0003053435114846255,0.00030534351146681456,0.0003053435114653604,0.000305343511467598,0.00030534351147497486,0.0003053435114641938,0.0003053435114940901,0.00030534351146688265,0.00030534351146232347,0.0003053435114613761,0.00030534351146334186,0.0003053435114542191,0.00030534351146222616,0.00030534351145900895,0.9926717557247976,0.0003053435114826647,0.0003053435114685476,0.00030534351146665345,0.0003053435114565057,0.0003053435114704882
mfvm,https://mfvm.dk/ https://mfvm.dk/fileadmin/user_upload/FVM.dk/Dokumenter/Servicemenu/Publikationer/Groen_vaekst.pdf https://fvm.dk/nyheder/nyhed/nyhed/fn-forbyder-brug-af-staerkt-forurenende-skibsbraendstof-i-arktis/&sa=U&ved=2ahUKEwik58z0-onwAhUnxoUKHSYNARcQFjAAegQIARAB&usg=AOvVaw1qU7ov9WrDW7QCO9ijGw1Z https://fvm.dk/fileadmin/user_upload/MFVM/Ministeriet/Departementet/Aftaler_med_universiteter/Aftaler_2020/Rammeaftale_med_AU/AU_Arktis_-_Ydelsesaftale.pdf ,Danish,0.004000000000609873,0.004000000000236004,0.004000000000273339,0.004000000000218564,0.004000000000180128,0.004000000000985608,0.0040000000002496745,0.004000000000324312,0.004000000000221878,0.0040000000006143845,0.004000000000181319,0.004000000000815413,0.004000000000859548,0.0040000000002084314,0.004000000000253778,0.004000000000332513,0.20644684365034455,0.004000000000236905,0.004000000000613904,0.7015531563405147,0.0040000000004198795,0.0040000000005601935,0.004000000000284973,0.004000000000210249,0.00400000000024962
wikipedia,https://da.wikipedia.org/wiki/Milj%C3%B8 https://da.wikipedia.org/wiki/FN%27s_verdensm%C3%A5l https://da.wikipedia.org/wiki/Power-to-X https://da.wikipedia.org/wiki/B%C3%A6redygtighed https://da.wikipedia.org/wiki/B%C3%A6redygtighed ,Danish,4.8134777379866375e-05,4.813477737820827e-05,4.813477738017271e-05,4.813477737950665e-05,4.8134777379210026e-05,4.813477738498026e-05,4.813477737965565e-05,4.8134777379480426e-05,4.8134777379340706e-05,0.2397073466452397,4.813477737892177e-05,0.23252946838163338,4.813477738169295e-05,4.8134777378984776e-05,4.8134777378761024e-05,4.8134777379181796e-05,4.813477738485579e-05,4.8134777379470065e-05,4.813477737879141e-05,0.5267042198707608,4.813477738235199e-05,4.813477738411152e-05,4.8134777381377e-05,4.8134777378379866e-05,4.813477737888539e-05
miljoeportal,https://miljoeportal.dk/ https://miljoeportal.dk/media/1337/dmp-strategi-2020-1-maj-2020.pd ,Danish,0.0018181818183392853,0.0018181818182460016,0.0018181818183498038,0.0018181818183445025,0.0018181818183105449,0.0018181818185381503,0.0018181818183672948,0.0018181818183208018,0.0018181818183218433,0.0018181818186952638,0.0018181818184042123,0.0018181818185832544,0.59151579183318,0.0018181818183204313,0.0018181818182987147,0.0018181818183076375,0.0018181818183198085,0.0018181818183423072,0.0018181818182927835,0.3666660263439503,0.0018181818183463363,0.0018181818184919184,0.001818181818767419,0.0018181818182613086,0.0018181818183002302
avl,https://avl.dk/miljo https://avl.dk/miljo ,Danish,0.00019138755981980054,0.00019138755981329268,0.00019138755982011548,0.00019138755982091464,0.00019138755982034031,0.00019138755983734993,0.0001913875598199303,0.00019138755981972143,0.00019138755981932976,0.00019138755984021773,0.0001913875598259331,0.0001913875598287761,0.0001913875598306555,0.00019138755981763542,0.00019138755981742156,0.00019138755981865045,0.0001913875598212983,0.00019138755982014982,0.00019138755981737372,0.9954066985641857,0.00019138755987969518,0.0001913875598387142,0.00019138755983295682,0.00019138755981642168,0.0001913875598175349
aalborg,https://www.aalborg.dk/om-kommunen/organisation/miljoe-og-energiforvaltningen https://www.aalborg.dk/miljoe-energi-og-natur https://www.aalborg.dk/politik/strategier-og-politikker https://www.aalborg.dk/business/erhvervsservice-i-aalborg/rammeaftalen-baeredygtig-erhvervsservice https://www.aalborg.dk/om-kommunen/byplanlaegning/temaer-inden-for-byplanlaegning/baeredygtighed-i-byplanlaegning https://www.aalborg.dk/miljoe-energi-og-natur/klima https://www.aalborg.dk/miljoe-energi-og-natur/vaadomraader-og-lavbundsprojekter https://www.aalborg.dk/miljoe-energi-og-natur/baeredygtighedsmanual ,Danish,2.6472534747072865e-05,2.647253474556779e-05,2.647253474694166e-05,2.6472534747008355e-05,2.6472534746720882e-05,0.7667291934084883,2.6472534746655685e-05,2.6472534746712975e-05,2.6472534746559018e-05,2.6472534749357472e-05,2.647253474644251e-05,2.6472534748328073e-05,2.647253474778242e-05,2.6472534746379403e-05,2.6472534746332718e-05,2.647253474647806e-05,2.6472534747296824e-05,2.6472534746606035e-05,2.6472534746341873e-05,0.23266193829233128,2.6472534747810868e-05,2.6472534748353847e-05,2.647253474720489e-05,2.6472534745995002e-05,2.6472534746350736e-05
kefm,https://kefm.dk/klima-og-vejr/konsekvenser-for-klima-miljoe-og-natur https://kefm.dk/klima-og-vejr/klimaindsatsen-i-danmark https://kefm.dk/globale-samarbejder/klimasamarbejde-i-arktis ,Danish,7.104795737523548e-05,7.104795737322925e-05,7.104795737649946e-05,7.104795737503881e-05,7.10479573809864e-05,7.104795738481239e-05,7.104795737554897e-05,7.104795737544608e-05,7.104795737479045e-05,7.104795738138956e-05,7.104795737484653e-05,7.104795737828945e-05,7.10479573818557e-05,7.104795737470821e-05,7.104795737413608e-05,7.10479573745961e-05,7.104795738128841e-05,7.104795737474277e-05,7.104795737549294e-05,0.32056643643694,7.104795737871463e-05,0.677799460543392,7.104795737870179e-05,7.104795737354859e-05,7.104795737417874e-05
veluxfoundations,https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/miljoe-et-hav-i-balance-viden-og-samarbejde ,Danish,8.908685969567933e-05,8.908685969285631e-05,8.908685969535548e-05,8.908685969297515e-05,8.908685969313587e-05,8.908685970480734e-05,0.3475288952893149,8.908685969383316e-05,8.908685969305471e-05,8.908685970355961e-05,8.908685969266315e-05,8.908685969924023e-05,8.908685969863003e-05,8.908685969227866e-05,8.908685969212927e-05,8.908685969279106e-05,8.908685969411591e-05,8.908685969294575e-05,8.908685969235445e-05,0.6504221069376975,8.90868596977117e-05,8.908685970006914e-05,8.908685969374483e-05,8.908685969158083e-05,8.908685969216177e-05
automester,https://automester.dk/miljoe https://automester.dk/miljoe ,Danish,0.00020304568528750023,0.0002030456852831448,0.00020304568529309905,0.00020304568528847,0.7010458715036256,0.0002030456853030622,0.00020304568528791537,0.0002030456852899675,0.00020304568528916353,0.0002030456853025228,0.00020304568529510054,0.000203045685293672,0.00020304568530863355,0.0002030456852878956,0.00020304568528636832,0.00020304568528760694,0.0002030456852892019,0.00020304568528693725,0.00020304568528493105,0.29428407773463017,0.00020304568531108436,0.0002030456853029482,0.00020304568531409806,0.00020304568528482957,0.00020304568528611982
mariagerfjord,https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe/Natur/Naturen---en-rentabel-del-af-landbruget https://www.mariagerfjord.dk/Klima-og-Energi/Groen-energi-i-Mariagerfjord ,Danish,0.00019417475730047914,0.0001941747572862057,0.00019417475729625698,0.00019417475729368975,0.0001941747572993598,0.12281571496035137,0.00019417475733361713,0.00019417475729675235,0.0001941747572916167,0.00019417475730996547,0.00019417475730327543,0.00019417475729752694,0.0001941747573146449,0.00019417475729144546,0.00019417475729034914,0.0001941747572913148,0.00019417475730482158,0.00019417475729225595,0.00019417475729074772,0.8727182656217604,0.00019417475730604977,0.00019417475730957136,0.0001941747573102997,0.00019417475728765183,0.0001941747572902392
