Id,urls,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,X-UMAP,Y-UMAP
norskov,https://www.norskov.dk/miljo https://www.norskov.dk/miljo ,Danish,0.0003053435114673,0.0003053435114513,0.0003053435114658,0.0003053435114627,0.0003053435114632,0.0003053435114846,0.0003053435114668,0.0003053435114653,0.0003053435114675,0.0003053435114749,0.0003053435114641,0.000305343511494,0.0003053435114668,0.0003053435114623,0.0003053435114613,0.0003053435114633,0.0003053435114542,0.0003053435114622,0.000305343511459,0.9926717557247976,0.0003053435114826,0.0003053435114685,0.0003053435114666,0.0003053435114565,0.0003053435114704,0.6486746072769165,6.102157115936279
mfvm,https://mfvm.dk/ https://mfvm.dk/fileadmin/user_upload/FVM.dk/Dokumenter/Servicemenu/Publikationer/Groen_vaekst.pdf https://fvm.dk/nyheder/nyhed/nyhed/fn-forbyder-brug-af-staerkt-forurenende-skibsbraendstof-i-arktis/&sa=U&ved=2ahUKEwik58z0-onwAhUnxoUKHSYNARcQFjAAegQIARAB&usg=AOvVaw1qU7ov9WrDW7QCO9ijGw1Z https://fvm.dk/fileadmin/user_upload/MFVM/Ministeriet/Departementet/Aftaler_med_universiteter/Aftaler_2020/Rammeaftale_med_AU/AU_Arktis_-_Ydelsesaftale.pdf ,Danish,0.0040000000006098,0.004000000000236,0.0040000000002733,0.0040000000002185,0.0040000000001801,0.0040000000009856,0.0040000000002496,0.0040000000003243,0.0040000000002218,0.0040000000006143,0.0040000000001813,0.0040000000008154,0.0040000000008595,0.0040000000002084,0.0040000000002537,0.0040000000003325,0.2064468436503445,0.0040000000002369,0.0040000000006139,0.7015531563405147,0.0040000000004198,0.0040000000005601,0.0040000000002849,0.0040000000002102,0.0040000000002496,9.524191856384277,5.5046210289001465
wikipedia,https://da.wikipedia.org/wiki/Milj%C3%B8 https://da.wikipedia.org/wiki/FN%27s_verdensm%C3%A5l https://da.wikipedia.org/wiki/Power-to-X https://da.wikipedia.org/wiki/B%C3%A6redygtighed https://da.wikipedia.org/wiki/B%C3%A6redygtighed ,Danish,4.8134777379866375e-05,4.813477737820827e-05,4.813477738017271e-05,4.813477737950665e-05,4.8134777379210026e-05,4.813477738498026e-05,4.813477737965565e-05,4.8134777379480426e-05,4.813477737934071e-05,0.2397073466452397,4.813477737892177e-05,0.2325294683816333,4.813477738169295e-05,4.8134777378984776e-05,4.8134777378761024e-05,4.81347773791818e-05,4.813477738485579e-05,4.813477737947007e-05,4.813477737879141e-05,0.5267042198707608,4.813477738235199e-05,4.813477738411152e-05,4.8134777381377e-05,4.8134777378379866e-05,4.813477737888539e-05,5.412940502166748,5.162275314331055
miljoeportal,https://miljoeportal.dk/ https://miljoeportal.dk/media/1337/dmp-strategi-2020-1-maj-2020.pd ,Danish,0.0018181818183392,0.001818181818246,0.0018181818183498,0.0018181818183445,0.0018181818183105,0.0018181818185381,0.0018181818183672,0.0018181818183208,0.0018181818183218,0.0018181818186952,0.0018181818184042,0.0018181818185832,0.59151579183318,0.0018181818183204,0.0018181818182987,0.0018181818183076,0.0018181818183198,0.0018181818183423,0.0018181818182927,0.3666660263439503,0.0018181818183463,0.0018181818184919,0.0018181818187674,0.0018181818182613,0.0018181818183002,9.607948303222656,6.642022609710693
avl,https://avl.dk/miljo https://avl.dk/miljo ,Danish,0.0001913875598198,0.0001913875598132,0.0001913875598201,0.0001913875598209,0.0001913875598203,0.0001913875598373,0.0001913875598199,0.0001913875598197,0.0001913875598193,0.0001913875598402,0.0001913875598259,0.0001913875598287,0.0001913875598306,0.0001913875598176,0.0001913875598174,0.0001913875598186,0.0001913875598212,0.0001913875598201,0.0001913875598173,0.9954066985641856,0.0001913875598796,0.0001913875598387,0.0001913875598329,0.0001913875598164,0.0001913875598175,1.8260246515274048,3.971381664276123
aalborg,https://www.aalborg.dk/om-kommunen/organisation/miljoe-og-energiforvaltningen https://www.aalborg.dk/miljoe-energi-og-natur https://www.aalborg.dk/politik/strategier-og-politikker https://www.aalborg.dk/business/erhvervsservice-i-aalborg/rammeaftalen-baeredygtig-erhvervsservice https://www.aalborg.dk/om-kommunen/byplanlaegning/temaer-inden-for-byplanlaegning/baeredygtighed-i-byplanlaegning https://www.aalborg.dk/miljoe-energi-og-natur/klima https://www.aalborg.dk/miljoe-energi-og-natur/vaadomraader-og-lavbundsprojekter https://www.aalborg.dk/miljoe-energi-og-natur/baeredygtighedsmanual ,Danish,2.6472534747072865e-05,2.647253474556779e-05,2.647253474694166e-05,2.6472534747008355e-05,2.647253474672088e-05,0.7667291934084883,2.6472534746655685e-05,2.647253474671297e-05,2.6472534746559014e-05,2.6472534749357472e-05,2.647253474644251e-05,2.6472534748328077e-05,2.647253474778242e-05,2.6472534746379403e-05,2.647253474633272e-05,2.647253474647806e-05,2.6472534747296824e-05,2.6472534746606035e-05,2.6472534746341876e-05,0.2326619382923312,2.6472534747810868e-05,2.6472534748353847e-05,2.647253474720489e-05,2.6472534745995e-05,2.6472534746350736e-05,6.525346279144287,10.433941841125488
kefm,https://kefm.dk/klima-og-vejr/konsekvenser-for-klima-miljoe-og-natur https://kefm.dk/klima-og-vejr/klimaindsatsen-i-danmark https://kefm.dk/globale-samarbejder/klimasamarbejde-i-arktis ,Danish,7.104795737523548e-05,7.104795737322925e-05,7.104795737649946e-05,7.104795737503881e-05,7.10479573809864e-05,7.104795738481239e-05,7.104795737554897e-05,7.104795737544608e-05,7.104795737479045e-05,7.104795738138956e-05,7.104795737484653e-05,7.104795737828945e-05,7.10479573818557e-05,7.104795737470821e-05,7.104795737413608e-05,7.10479573745961e-05,7.104795738128841e-05,7.104795737474277e-05,7.104795737549294e-05,0.32056643643694,7.104795737871463e-05,0.677799460543392,7.104795737870179e-05,7.104795737354859e-05,7.104795737417874e-05,22.850601196289062,8.423742294311523
veluxfoundations,https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/miljoe-et-hav-i-balance-viden-og-samarbejde ,Danish,8.908685969567933e-05,8.908685969285631e-05,8.908685969535548e-05,8.908685969297515e-05,8.908685969313587e-05,8.908685970480734e-05,0.3475288952893149,8.908685969383316e-05,8.908685969305471e-05,8.908685970355961e-05,8.908685969266315e-05,8.908685969924023e-05,8.908685969863003e-05,8.908685969227866e-05,8.908685969212927e-05,8.908685969279106e-05,8.908685969411591e-05,8.908685969294575e-05,8.908685969235445e-05,0.6504221069376975,8.90868596977117e-05,8.908685970006914e-05,8.908685969374483e-05,8.908685969158083e-05,8.908685969216177e-05,8.5209321975708,6.905407905578613
automester,https://automester.dk/miljoe https://automester.dk/miljoe ,Danish,0.0002030456852875,0.0002030456852831,0.000203045685293,0.0002030456852884,0.7010458715036256,0.000203045685303,0.0002030456852879,0.0002030456852899,0.0002030456852891,0.0002030456853025,0.0002030456852951,0.0002030456852936,0.0002030456853086,0.0002030456852878,0.0002030456852863,0.0002030456852876,0.0002030456852892,0.0002030456852869,0.0002030456852849,0.2942840777346301,0.000203045685311,0.0002030456853029,0.000203045685314,0.0002030456852848,0.0002030456852861,14.598870277404785,4.133439540863037
mariagerfjord,https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe/Natur/Naturen---en-rentabel-del-af-landbruget https://www.mariagerfjord.dk/Klima-og-Energi/Groen-energi-i-Mariagerfjord ,Danish,0.0001941747573004,0.0001941747572862,0.0001941747572962,0.0001941747572936,0.0001941747572993,0.1228157149603513,0.0001941747573336,0.0001941747572967,0.0001941747572916,0.0001941747573099,0.0001941747573032,0.0001941747572975,0.0001941747573146,0.0001941747572914,0.0001941747572903,0.0001941747572913,0.0001941747573048,0.0001941747572922,0.0001941747572907,0.8727182656217604,0.000194174757306,0.0001941747573095,0.0001941747573102,0.0001941747572876,0.0001941747572902,5.7293267250061035,9.541443824768066
