result #,search engine,query,discourse,language,domain,Manual actor name,article title,article url,article description,total nr of results (best guess),"Type (Kommunal, virksomhed, statslig)",Kommentarer / Er det en relevant kvalitativ case? Hvorfor?,index,resolved,status,error,filename,mimetype,encoding
49.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,cowi,,Miljø - COWI,https://www.cowi.dk/loesninger/miljoe,"Vi leverer specialistrådgivning og innovative løsninger, der skaber et bedre samfund og beskytter miljøet. Vores ydelser er tilpasset kundernes konkrete behov, enten som enkeltstående ydelser eller som ydelser integreret i komplekse projekter inden for byudvikling, infrastruktur, klimatilpasning, energi og sundhed.",1640000.0,privat,,16,,200,,08e1dac5-16a7-4fe9-b175-9fbd10c5d736.html,text/html,utf-8
32.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,mariagerfjord,,Natur og MiljøDagsorden og referater fra Teknik og Miljø ...,https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe,,1640000.0,kommunal,,9,,200,,75dc236c-f990-4b60-b2fe-c006a1949d4f.html,text/html,utf-8
82.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,fmk,,Miljø og Byg - Faaborg-Midtfyn Municipality,https://www.fmk.dk/kontakt-og-aabningstider/fagomraader-og-stabe/by-land-og-kultur/miljoe-og-byg/,Afdelingen Miljø og Byg i Faaborg-Midtfyn Kommune løser opgaver for borgere og virksomheder inden for miljø og byggeri.,1640000.0,kommunal,,27,,200,,e8950dd2-e9cf-48e2-bbaa-d7d0047921ba.html,text/html,utf-8
1.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,mst,,"Miljøstyrelsen | miljø, affald, støj, luft og kemi ...",http://mst.dk/,"På Miljøstyrelsens hjemmeside får du viden om vores natur og miljø samt arbejdet med at udvikle nye grønne indsatser og miljøvenlig teknologi. Du finder de strategier, planer og miljøregler, som regulerer hvordan industrier, landbrug og skovbrug må - og ikke må - …",1640000.0,Statslig,,1,https://mst.dk/,200,,eb5db37e-52bb-476e-b968-e22b689f1186.html,text/html,utf-8
74.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,furesoe,,Center for By og Miljø | Furesø Kommune,https://www.furesoe.dk/om-kommunen/fakta/organisation/center-for-by-og-miljoe/,"Centeret har også ansvaret for planlægning og udførelse af natur- og miljøopgaver. Derudover har centeret ansvar for kommunens veje og stier, trafiksikkerhed, forvaltning af grønne områder, snerydning, glatførebekæmpelse og affaldshåndtering.",1640000.0,kommunal,,23,,200,,dc356fb4-be3e-4444-963a-404e1f16276a.html,text/html,utf-8
100.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,verdensmaalene,,Verdensmålene - for bæredygtig udvikling,https://www.verdensmaalene.dk/,"Verdensmålene for bæredygtig udvikling er 17 mål, der tilsammen skal sætte os på kurs mod en mere bæredygtig fremtid, hvor ingen lades i stikken. UNDERVISNINGSØVELSER Her kan du finde guides til, hvordan du kan arbejde med verdensmålene i netop dit fag og fagspecifikke øvelser, der sætter verdensmålene på skoleskemaet.",369000.0,,hvordan skal der linkes her? Vil i have et link til samtlige verdensmål?,36,,200,,cf83c864-1a8b-4ef0-98dd-d73b324568f1.html,text/html,utf-8
84.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,brk,,Bornholms Regionskommune,https://www.brk.dk/,"Bornholms Regionskommunes officielle hjemmeside. Her finder du nyheder og generel information om kommunens områder, mulighed for selvbetjening med mere ...",1640000.0,kommunal,,28,https://www.brk.dk/Sider/Forside.aspx,200,,f5b783e4-f1f1-4f41-8b64-0f8830d54aa9.html,text/html,utf-8
103.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,verdensmaal,,Verdensmålene – Danmarks officielle side | Verdensmål,https://www.verdensmaal.org/,"På verdensmål.org kan du følge med i, hvordan Danmark og danskerne arbejder med målene. Du finder også materialer og idéer til, hvordan du selv kan bruge Verdensmålene i din hverdag, både som privatperson og i arbejdslivet i din virksomhed, organisation eller kommune. Siden er drevet af Verdens Bedste Nyheder.",369000.0,,,38,,200,,1492d262-41a1-4fbe-bfd4-bbde82f6c817.html,text/html,utf-8
65.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,venstre,,"Natur og miljø - Venstre, Danmarks Liberale Parti",https://www.venstre.dk/politik/principprogram/natur-og-miljoe,"Grænseoverskridende forurening skal bekæmpes i EU og i internationalt regi. Fælles EU-miljøkrav på alle områder, hvor forureningen er grænseoverskridende, skal sikre, at borgere og virksomheder i ét EU-land ikke kan overvælte omkostninger på et andet EU-land.",1640000.0,statslig,,19,,200,,84b9fedd-d8c2-46cb-b245-4cbfcbc60ff7.html,text/html,utf-8
16.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,sst,,Miljø - Sundhedsstyrelsen,https://www.sst.dk/da/Viden/Miljoe,"Sundhedsstyrelsen rådgiver andre myndigheder om helbredseffekter af miljøpåvirkninger, men fastsætter ikke selv regler på området. De myndigheder, der regulerer miljøfaktorer for at forebygge negative effekter på mennesker og miljø, fremgår af de enkelte afsnit.",1640000.0,Statslig,Sundhedsrisici ved klimaforandringer,7,,200,,eb23b1af-1601-4e2c-90b6-4d4e5adf5836.html,text/html,utf-8
