topic,word,weight
TOPIC_0,2021,16.42822623150142
TOPIC_0,kommune,5.969345352544222
TOPIC_0,marts,4.9226244076704155
TOPIC_0,etablering,3.191973619722377
TOPIC_0,19,2.926676177812214
TOPIC_0,april,2.745281829021454
TOPIC_0,16,2.681025355721419
TOPIC_0,læs,2.6665081307634186
TOPIC_0,12,2.5665479707623406
TOPIC_0,um,2.295231288467143
TOPIC_0,18,2.073801417706474
TOPIC_0,sum,2.071083575537687
TOPIC_0,15,2.0198851110887066
TOPIC_0,11,1.9236925011577097
TOPIC_0,70,1.9229320171652684
TOPIC_0,23,1.822640057091762
TOPIC_0,ofte,1.8139673430278103
TOPIC_0,03,1.6355397537537153
TOPIC_0,fyri,1.555374587386132
TOPIC_0,forhold,1.5440333984560215
TOPIC_0,25,1.4394622224256637
TOPIC_0,út,1.4374163027927265
TOPIC_0,av,1.4261769173445367
TOPIC_0,forbindelse,1.4058322062249384
TOPIC_0,40,1.3643979713511052
TOPIC_1,av,688.7206194266087
TOPIC_1,um,687.4645443890234
TOPIC_1,sum,615.2044937372083
TOPIC_1,fyri,605.5632585439239
TOPIC_1,hevur,313.8433628032021
TOPIC_1,tað,296.4221562439363
TOPIC_1,ella,284.2863180615551
TOPIC_1,ið,273.7759590424407
TOPIC_1,ein,245.29506133712303
TOPIC_1,hava,234.2863024480699
TOPIC_1,ikki,230.98398155836162
TOPIC_1,vit,225.94146546401544
TOPIC_1,kann,219.92303973479883
TOPIC_1,hetta,200.98795894908142
TOPIC_1,verða,185.93025995849158
TOPIC_1,stk,175.6484305121026
TOPIC_1,eisini,163.54357930027925
TOPIC_1,eitt,160.9969749942241
TOPIC_1,tí,146.10800808274155
TOPIC_1,enn,127.61503264330743
TOPIC_1,tá,120.6526436146858
TOPIC_1,ár,116.68211913198523
TOPIC_1,okkara,109.55203598680852
TOPIC_1,undir,109.1594841440097
TOPIC_1,skulu,104.10741372854137
TOPIC_2,verdensmålene,12.159493013987127
TOPIC_2,menneskerettigheder,6.663701992661574
TOPIC_2,verdensmål,4.670280138127833
TOPIC_2,institut,3.957247806129698
TOPIC_2,tilgang,3.8812366637832407
TOPIC_2,arbejder,3.7876026714285267
TOPIC_2,vedtaget,3.3526489620711057
TOPIC_2,udvikle,3.0497749664269893
TOPIC_2,fn,2.8728549579395346
TOPIC_2,virksomheder,2.7291362566131174
TOPIC_2,guide,2.3763318443336727
TOPIC_2,internationale,2.3065380635269115
TOPIC_2,værktøjer,2.220731364225794
TOPIC_2,viser,2.162599088462682
TOPIC_2,læs,1.902617599187038
TOPIC_2,dk,1.7652339822993035
TOPIC_2,miljø,1.7149795691599865
TOPIC_2,17,1.6453635292089712
TOPIC_2,række,1.5934298855497713
TOPIC_2,30,1.5725965295435693
TOPIC_2,herunder,1.5099729116282965
TOPIC_2,økonomiske,1.503415124804146
TOPIC_2,partnerskaber,1.4981071049557986
TOPIC_2,konkret,1.48612795699259
TOPIC_2,bæredygtigt,1.4671652845485135
TOPIC_3,verdensmål,4.224016795332623
TOPIC_3,verdensmålene,2.643085366990946
TOPIC_3,17,2.3791076537379188
TOPIC_3,læs,2.3672721776162327
TOPIC_3,fn,2.3645298026912327
TOPIC_3,bæredygtig,2.2985194765914327
TOPIC_3,kommune,2.06613947829824
TOPIC_3,bæredygtighed,1.8629082362590472
TOPIC_3,bæredygtige,1.8420455053479474
TOPIC_3,københavn,1.8070696852751336
TOPIC_3,find,1.7467806969453876
TOPIC_3,arbejde,1.7332928198635391
TOPIC_3,byer,1.7304716552909283
TOPIC_3,udvikling,1.6864174518348491
TOPIC_3,målene,1.6837373865302967
TOPIC_3,arbejder,1.638413076629102
TOPIC_3,indenfor,1.5833902239910738
TOPIC_3,virksomheder,1.4719937972990536
TOPIC_3,fokus,1.3887710610896375
TOPIC_3,2030,1.2971264729811758
TOPIC_3,verden,1.2680330669325806
TOPIC_3,verdens,1.25798779376523
TOPIC_3,nye,1.1667346861991152
TOPIC_3,konkrete,1.1309188183803947
TOPIC_3,børn,1.127710063446418
TOPIC_4,greenland,38.84251592193235
TOPIC_4,arctic,12.313047049666608
TOPIC_4,people,11.136228201285869
TOPIC_4,000,7.291636117129024
TOPIC_4,world,6.279698927841653
TOPIC_4,co2,5.638404146799771
TOPIC_4,council,4.795884443115967
TOPIC_4,also,4.4632946117419365
TOPIC_4,find,3.7596410037039347
TOPIC_4,international,3.6598680931898624
TOPIC_4,lokale,3.518320298068648
TOPIC_4,set,3.144431241294478
TOPIC_4,work,3.0902555565898218
TOPIC_4,region,3.0739482425324947
TOPIC_4,løbende,2.9305335608004612
TOPIC_4,aamma,2.686925740430428
TOPIC_4,miljøet,2.3710788315597466
TOPIC_4,arbejde,2.3330171241129127
TOPIC_4,60,2.105313345558096
TOPIC_4,hjemmeside,2.1035670346712263
TOPIC_4,50,2.0748268132011214
TOPIC_4,nye,2.0562462659015743
TOPIC_4,environment,1.9639368538221142
TOPIC_4,olie,1.9567686355801133
TOPIC_4,new,1.868587724894037
TOPIC_5,aamma,72.1399066976858
TOPIC_5,grønland,54.185323390480875
TOPIC_5,aalborg,53.08664839736668
TOPIC_5,kalaallit,50.59700144826059
TOPIC_5,nuuk,45.12330346614429
TOPIC_5,kommune,35.22974071245673
TOPIC_5,eudp,34.45221472880064
TOPIC_5,nunaanni,32.375788154172696
TOPIC_5,læs,31.398265490770257
TOPIC_5,børn,21.33629110427723
TOPIC_5,kontakt,21.189445425890074
TOPIC_5,bilag,21.085933849433697
TOPIC_5,dk,20.327671671227428
TOPIC_5,csr,19.6292563075263
TOPIC_5,tlf,18.384723705176878
TOPIC_5,støtte,18.105580867270113
TOPIC_5,yderligere,16.75445833128864
TOPIC_5,inden,15.67935828639948
TOPIC_5,år,15.496524720596057
TOPIC_5,projekter,14.943980502960187
TOPIC_5,samt,14.764579108631924
TOPIC_5,byen,14.429582561272563
TOPIC_5,information,14.280080210432011
TOPIC_5,kors,13.805604118121835
TOPIC_5,røde,13.55141669824099
TOPIC_6,fonden,8.316447823715983
TOPIC_6,projekter,3.298514989780493
TOPIC_6,støtter,3.247754984630907
TOPIC_6,verdensmål,2.6827031924191886
