Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
rcaanc-cirnac,https://www.rcaanc-cirnac.gc.ca/eng/1100100036042/1547658056831 https://www.rcaanc-cirnac.gc.ca/eng/1100100036000/1547749889500 https://www.rcaanc-cirnac.gc.ca/eng/1562939617400/1562939658000 https://www.rcaanc-cirnac.gc.ca/eng/1100100036042/1547658056831 https://www.rcaanc-cirnac.gc.ca/eng/1565186303207/1565186324673 https://www.rcaanc-cirnac.gc.ca/eng/1453397726970/1547750775256 https://www.rcaanc-cirnac.gc.ca/eng/1100100036042/1547658056831 ,True,True,True,True,True,False,False,False,False,False,False,True,False,3.3428659864448726e-06,3.3428657755045786e-06,3.342865833416728e-06,3.342866568315182e-06,3.3428672318640977e-06,3.342867622687375e-06,3.3428643278583613e-06,0.06849253371182053,3.3428693881238774e-06,3.3428678588529405e-06,3.342867342192107e-06,0.9314640090231203,3.3428654362636528e-06,3.3428658118946578e-06,3.342865875629432e-06
cbc,https://www.cbc.ca/news/canada/north/grays-bay-road-and-port-project-1.3676165 https://www.cbc.ca/news/canada/north/nunavut-inuit-infrastructure-gap-inequality-1.5770924 https://www.cbc.ca/news/canada/north/nunavut-dolphin-and-union-caribou-tah-1.5730857 https://www.cbc.ca/news/canada/north/agnico-eagle-nunavummiut-protest-1.5502726 https://www.cbc.ca/news/canada/north/hunters-inuit-knowledge-ignored-nunavut-mine-environmental-study-1.5726454 ,True,True,True,True,False,False,False,False,False,False,False,True,False,5.635400110395465e-05,5.6353999102257605e-05,5.635400344947377e-05,0.052794216218113914,5.635401923974123e-05,0.9464731815262181,5.635397293276448e-05,5.635405294409649e-05,5.635404270416742e-05,5.635406765270019e-05,5.635403928422547e-05,5.635403490322378e-05,5.635399851552014e-05,5.63540080759456e-05,5.6354015759728886e-05
nrcan,https://www.nrcan.gc.ca/our-natural-resources/energy-sources-distribution/clean-fossil-fuels/natural-gas/shale-and-tight-resources-canada/nunavuts-shale-and-tight-resources/17706 https://www.nrcan.gc.ca/science-data/science-research/earth-sciences/earth-sciences-resources/earth-sciences-federal-programs/diavik-diamond-mine-northwest-territories/8816 https://www.nrcan.gc.ca/science-data/science-research/earth-sciences/earth-sciences-resources/earth-sciences-federal-programs/minerals-and-metals-policy-government-canada/8690 https://www.nrcan.gc.ca/earth-sciences/geomatics/satellite-imagery-air-photos/sensors-methods/visible-infrared/tool-technique-development/9717 https://www.nrcan.gc.ca/earth-sciences/geomatics/satellite-imagery-air-photos/sensors-methods/visible-infrared/tool-technique-development/9717 ,True,True,False,False,True,False,False,False,False,False,False,True,False,9.795291993666063e-06,9.795290949046822e-06,9.795292293602176e-06,9.795294241333039e-06,9.795297126573839e-06,9.795299592303816e-06,9.795288073929432e-06,9.795296430983596e-06,0.9998628658562229,9.795298097141218e-06,9.795299453135023e-06,9.795318179882395e-06,9.79529109154358e-06,9.795293100245717e-06,9.79529315388103e-06
ctvnews,https://www.ctvnews.ca/canada/my-people-need-help-nunavut-mp-s-report-on-housing-decries-living-conditions-1.5362663 https://www.ctvnews.ca/politics/nunavut-ndp-mp-mumilaaq-qaqqaq-returns-from-leave-after-burnout-depression-1.5254042 https://www.ctvnews.ca/canada/anything-is-possible-nunavut-greenhouses-bring-food-jobs-to-tundra-1.4787362 https://www.ctvnews.ca/canada/these-spaces-are-lifelines-nunavut-lockdown-leaves-some-with-nowhere-to-go-1.5203551 https://www.ctvnews.ca/canada/mp-visits-homes-across-nunavut-says-people-are-basically-living-in-mould-boxes-1.5075579 https://www.ctvnews.ca/canada/anything-is-possible-nunavut-greenhouses-bring-food-jobs-to-tundra-1.4787362 ,True,True,True,True,False,False,False,False,False,False,False,True,False,7.870931198955937e-05,7.870930018409394e-05,7.870929888727915e-05,7.870940060088984e-05,7.870929727060651e-05,0.9474507670942384,7.870926655453385e-05,7.870936691067739e-05,7.870931531710716e-05,7.870938245776718e-05,0.051526011650000224,7.870935208034306e-05,7.870930043689132e-05,7.87093176617693e-05,7.870934540990446e-05
infrastructure,https://www.infrastructure.gc.ca/plan/letters-lettres/pt-nu-eng.html https://www.infrastructure.gc.ca/pt-sp/nu-eng.html ,False,True,False,False,False,False,False,False,False,False,False,True,False,5.812273629224149e-05,5.812272506873045e-05,5.8122741943502685e-05,5.812276802004896e-05,5.812275580754206e-05,0.0031230636524685897,5.812270622311672e-05,5.8122760190830664e-05,0.008500411541460091,5.812276427318141e-05,0.9257586525299396,0.06197852206084724,5.8122735493304115e-05,5.812276160772452e-05,5.812276036422789e-05
miragenews,https://www.miragenews.com/canada-supports-nunavuts-fishing-and-sealing-534626/ https://www.miragenews.com/cannor-makes-key-investments-in-nunavuts-534625/ ,False,True,False,False,False,False,False,False,False,False,False,True,False,0.00011396031145309163,0.00011396030318239519,0.00011396031977177774,0.00011396043240168111,0.07741791460132127,0.3652069713762846,0.00011396024958006144,0.00011396044642877211,0.1296633567926452,0.16864087451495471,0.25793127928167686,0.00011396038065034466,0.00011396030248913735,0.00011396034987196606,0.00011396033728817387
modernfarmer,https://modernfarmer.com/2013/10/arctic-farming/ https://modernfarmer.com/2013/10/arctic-farming/ https://modernfarmer.com/2013/10/arctic-farming/ ,True,True,True,False,False,False,False,False,False,False,False,True,False,4.796170699564338e-05,4.796170230423582e-05,4.796170220934913e-05,4.7961745603415546e-05,4.7961705947626986e-05,0.9993285359777072,4.7961688886342614e-05,4.796171641849114e-05,4.796171340831791e-05,4.796173703486356e-05,4.796174380151601e-05,4.7961725793850974e-05,4.796170423419447e-05,4.796170661487782e-05,4.796172303995666e-05
asc-csa,https://asc-csa.gc.ca/eng/sciences/food-production/naurvik-project-in-nunavut.asp ,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0004301082532220276,0.00043010819013773055,0.00043010826057943873,0.0004301085408864577,0.00043010829382424104,0.8298066522496063,0.0004301080499968581,0.00043010845115676414,0.0004301087098670905,0.0004301086558405596,0.16460193863023054,0.0004301085431368215,0.00043010824398121604,0.00043010842623364843,0.00043010850130062797
Nunavut Wildlife Management Board,https://www.facebook.com/NWMBmedia/?__xts__%5B0%5D=68.ARCCqM1aKL-GsSMk-Ejg929O2Vvg8AOeFqwnC7_prgx7fyz0_RlC-c9SaAKFaRXRdX91yd0P_1Ck7k0iZEZnybeMivBQbDjrMnuHKuILDtifWDXGn7iTRMJcsEl7ILSiajmrvY_K3ptdz1vP4SIxvqe1dzQDt7xKdhTIAXVLoCh4fkVT7GPeFdOXnq_t5fSg_SWgtCiRrZV4_J--mb3mqqrNTqqIvyJDXVsma3aQOxdyAUFKFR3bv_Z88l-yAHzcuz2j44L3uyhgRb4F2cBM8XEVmhj_Dsq9XhroXkh6iqqiu318ssR9gAM9Ast_Tj1fIi23X1tznGSjG4h0GaEOo4zDIDwh https://www.facebook.com/NWMBmedia/?__xts__%5B0%5D=68.ARAXN-Y_dFKVVDJdxoPnEIctiDUuXH-Ym5NwfIr2y1u1vaQleBDuvMaZHv0n3lmajiJXUU_QxKgo9KarrjzevaTxM2XQ1qruZoci75AMRD9lgsItQNPu7pDTVYbLXrpaPA0punkM6plbkb2_wJypwL84_KXA0H7OvPeZCE8O0MpVakbt-lnw23xlCAnW1uayls0DaHJ8OPk7TE2w312q8iQK7WLuSiEEvHpNp504n_6ZiUEelAGZmmvk6e4lQ9VWW1GGSRfF0vyiC8k9j_Kmo9bvFbSvj395vg_4EpUUO5I1GC0a-Lot7FVmMWDu8qNTY3A1jvCwcyvLwcgnG-z4dmpy4t-lFr72yPEVWnNX0qhMgDO-xvq8grjbjiXBFsrKijPSqQ6Q https://www.facebook.com/NWMBmedia/?__xts__%5B0%5D=68.ARAXN-Y_dFKVVDJdxoPnEIctiDUuXH-Ym5NwfIr2y1u1vaQleBDuvMaZHv0n3lmajiJXUU_QxKgo9KarrjzevaTxM2XQ1qruZoci75AMRD9lgsItQNPu7pDTVYbLXrpaPA0punkM6plbkb2_wJypwL84_KXA0H7OvPeZCE8O0MpVakbt-lnw23xlCAnW1uayls0DaHJ8OPk7TE2w312q8iQK7WLuSiEEvHpNp504n_6ZiUEelAGZmmvk6e4lQ9VWW1GGSRfF0vyiC8k9j_Kmo9bvFbSvj395vg_4EpUUO5I1GC0a-Lot7FVmMWDu8qNTY3A1jvCwcyvLwcgnG-z4dmpy4t-lFr72yPEVWnNX0qhMgDO-xvq8grjbjiXBFsrKijPSqQ6Q ,True,True,False,False,False,False,False,False,False,False,False,True,False,0.009523819175021207,0.009523820943087572,0.009523824071881298,0.009523825996302098,0.0095238135150489,0.009523812591845171,0.009523819003743095,0.416543951384111,0.009523813853331859,0.4596463992171439,0.009523824079382815,0.009523816806773612,0.009523822656559485,0.009523819865820477,0.009523816839947732
mromagazine,https://www.mromagazine.com/2021/02/08/nunavut-hunters-block-mine-road-airstrip-say-their-voices-arent-being-heard/ ,False,True,False,False,False,False,False,False,False,False,False,True,False,0.00035842355203226996,0.00035842352951581707,0.00035842361360658684,0.00035842402604357765,0.0003584238408183299,0.8182467510334528,0.000358423388425689,0.0003584238972785143,0.00035842354671781823,0.1770937416263866,0.00035842355082380217,0.00035842372098953334,0.00035842352555145345,0.00035842355149946314,0.00035842359685754805
