doc,topic,weight
rcaanc-cirnac,TOPIC_0,3.3428659864448726e-06
rcaanc-cirnac,TOPIC_1,3.3428657755045786e-06
rcaanc-cirnac,TOPIC_2,3.342865833416728e-06
rcaanc-cirnac,TOPIC_3,3.342866568315182e-06
rcaanc-cirnac,TOPIC_4,3.3428672318640977e-06
rcaanc-cirnac,TOPIC_5,3.342867622687375e-06
rcaanc-cirnac,TOPIC_6,3.3428643278583613e-06
rcaanc-cirnac,TOPIC_7,0.06849253371182053
rcaanc-cirnac,TOPIC_8,3.3428693881238774e-06
rcaanc-cirnac,TOPIC_9,3.3428678588529405e-06
rcaanc-cirnac,TOPIC_10,3.342867342192107e-06
rcaanc-cirnac,TOPIC_11,0.9314640090231203
rcaanc-cirnac,TOPIC_12,3.3428654362636528e-06
rcaanc-cirnac,TOPIC_13,3.3428658118946578e-06
rcaanc-cirnac,TOPIC_14,3.342865875629432e-06
cbc,TOPIC_0,5.635400110395465e-05
cbc,TOPIC_1,5.6353999102257605e-05
cbc,TOPIC_2,5.635400344947377e-05
cbc,TOPIC_3,0.052794216218113914
cbc,TOPIC_4,5.635401923974123e-05
cbc,TOPIC_5,0.9464731815262181
cbc,TOPIC_6,5.635397293276448e-05
cbc,TOPIC_7,5.635405294409649e-05
cbc,TOPIC_8,5.635404270416742e-05
cbc,TOPIC_9,5.635406765270019e-05
cbc,TOPIC_10,5.635403928422547e-05
cbc,TOPIC_11,5.635403490322378e-05
cbc,TOPIC_12,5.635399851552014e-05
cbc,TOPIC_13,5.63540080759456e-05
cbc,TOPIC_14,5.6354015759728886e-05
nrcan,TOPIC_0,9.795291993666063e-06
nrcan,TOPIC_1,9.795290949046822e-06
nrcan,TOPIC_2,9.795292293602176e-06
nrcan,TOPIC_3,9.795294241333039e-06
nrcan,TOPIC_4,9.795297126573839e-06
nrcan,TOPIC_5,9.795299592303816e-06
nrcan,TOPIC_6,9.795288073929432e-06
nrcan,TOPIC_7,9.795296430983596e-06
nrcan,TOPIC_8,0.9998628658562229
nrcan,TOPIC_9,9.795298097141218e-06
nrcan,TOPIC_10,9.795299453135023e-06
