Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,X-UMAP,Y-UMAP
drhyman,https://drhyman.com/downloads/Impact-of-Hg.pdf ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.540597915649414,26.847841262817383
oceaneering,https://www.oceaneering.com/sustainability/environmental-sustainability/ https://www.oceaneering.com/sustainability/ ,False,True,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.346107482910156,26.36831283569336
earthday,https://www.earthday.org/how-our-trash-impacts-the-environment/ https://www.earthday.org/ ,False,True,False,False,True,False,False,False,True,False,False,False,False,0.0003703709413525,0.6156736399760698,0.0003703710247644,0.0003703708135619,0.0003703710581422,0.1179109113600447,0.0003703712351616,0.0003703708954255,0.0003703708868182,0.2180544612026,0.0003703714518786,0.0003703713059655,0.0003703710276716,0.0003703708660528,0.0442869059544897,13.717095375061035,13.196381568908691
cowi,https://www.cowi.com/solutions/environment ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0017543876835595,0.975438563180802,0.0017543876550262,0.0017543876734978,0.0017543878555227,0.001754391194359,0.00175438766925,0.0017543878165176,0.0017543878113447,0.0017543881053751,0.0017543911717611,0.0017543886707832,0.0017543886946694,0.001754387607484,0.0017543872100471,15.55253791809082,14.970536231994629
sheilds,https://www.sheilds.org/nebosh-environmental-certificate/ ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0003159562291884,0.5378147718200138,0.0003159562222755,0.000315956154357,0.000315956294384,0.0003159567301644,0.0003159563710545,0.0003159563512602,0.0003159561469372,0.0003159563211143,0.4580777961721434,0.0003159564869928,0.0003159561807961,0.00031595614361,0.0003159563757076,13.588913917541504,10.81933879852295
norden,https://www.norden.org/en/environmentprize https://www.norden.org/en/organisation/nordic-council-ministers-environment-and-climate-mr-mk ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.001587303529799,0.040063300203211,0.0015873036819574,0.0015873029960533,0.001587304245608,0.0015873041983372,0.0015873047162669,0.0015873036741365,0.1201780377035941,0.001587303934908,0.8207110167969573,0.0015873042058828,0.0015873033738915,0.0015873032254929,0.0015873035139031,13.910573959350586,10.019562721252441
sensirion,https://www.sensirion.com/en/environmental-sensors/ ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0001092897887559,0.5634083420834847,0.0001092898285426,0.0001092897466169,0.0001092898103209,0.0654843368353378,0.0001092898844458,0.0001092897973257,0.0001092897672961,0.3308258437295326,0.000109289868457,0.0001092898126524,0.0001092897885808,0.0001092897693013,0.0390792894893491,13.932306289672852,13.194669723510742
biomedcentral,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0152-8 ,False,True,False,False,False,False,False,False,True,False,False,False,False,4.468281449160437e-05,4.468287434958797e-05,4.4682820514890654e-05,4.4682803796756175e-05,4.468284891006994e-05,4.468287450228417e-05,4.4682832225108e-05,4.468280701800539e-05,4.46828139363941e-05,4.468298964770395e-05,0.9993744402020722,4.4682827977518765e-05,4.468280703124883e-05,4.468281513015842e-05,4.468286839627112e-05,13.925808906555176,9.823756217956543
dredgeyard,https://dredgeyard.com/news/dredging-the-environment/ ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.000200803567834,0.7615061394302435,0.0002008036203677,0.0002008034811089,0.0002008037154173,0.0002008037644701,0.0793716447299649,0.0002008034162387,0.0002008035092905,0.0626621303205012,0.0942512457910988,0.0002008037642156,0.0002008035245008,0.0002008034803873,0.0002008038843599,13.194886207580566,12.638063430786133
earthshotprize,https://earthshotprize.org/ ,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0015503895762942,0.9782945423905672,0.0015503891040997,0.0015503888434314,0.0015503888634467,0.0015503937767344,0.0015503902189928,0.0015503907595237,0.0015503891915402,0.0015503887165483,0.0015503911443063,0.0015503899070377,0.0015503891813942,0.0015503891303311,0.0015503891957509,15.204316139221191,14.792892456054688
