Id,urls,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
norskov,https://www.norskov.dk/miljo https://www.norskov.dk/miljo ,Danish,0.00047961686306068974,0.0004796173722241172,0.0004796177366168275,0.00047961674199670527,0.0004796168994156471,0.9932853613806233,0.0004796168896747116,0.00047961699497399586,0.00047961676840361644,0.0004796172763694633,0.00047961686689660527,0.0004796169954174761,0.0004796175533381868,0.00047961680576744884,0.0004796168552211033
mfvm,https://mfvm.dk/ https://mfvm.dk/fileadmin/user_upload/FVM.dk/Dokumenter/Servicemenu/Publikationer/Groen_vaekst.pdf https://fvm.dk/nyheder/nyhed/nyhed/fn-forbyder-brug-af-staerkt-forurenende-skibsbraendstof-i-arktis/&sa=U&ved=2ahUKEwik58z0-onwAhUnxoUKHSYNARcQFjAAegQIARAB&usg=AOvVaw1qU7ov9WrDW7QCO9ijGw1Z https://fvm.dk/fileadmin/user_upload/MFVM/Ministeriet/Departementet/Aftaler_med_universiteter/Aftaler_2020/Rammeaftale_med_AU/AU_Arktis_-_Ydelsesaftale.pdf ,Danish,0.006666675923344782,0.006666676870698783,0.006666688584290889,0.006666677621072465,0.006666678427120229,0.0066666785015731846,0.006666677713367873,0.006666688321557382,0.006666680104461365,0.9066664800101466,0.00666667650361374,0.006666679727385809,0.0066666862885914,0.006666678558676922,0.006666676844098669
wikipedia,https://da.wikipedia.org/wiki/Milj%C3%B8 https://da.wikipedia.org/wiki/FN%27s_verdensm%C3%A5l https://da.wikipedia.org/wiki/Power-to-X https://da.wikipedia.org/wiki/B%C3%A6redygtighed https://da.wikipedia.org/wiki/B%C3%A6redygtighed ,Danish,7.382805994022113e-05,7.382807807858252e-05,0.9616413606872495,7.382806312582524e-05,7.382807874865783e-05,7.382813960040402e-05,7.382808639301285e-05,7.3828087659759e-05,7.382806391869938e-05,0.03739887425426364,7.382807106116444e-05,7.382807312952282e-05,7.3828112423481e-05,7.382806630698106e-05,7.382807810063192e-05
miljoeportal,https://miljoeportal.dk/ https://miljoeportal.dk/media/1337/dmp-strategi-2020-1-maj-2020.pd ,Danish,0.0028985558788904024,0.0028985631156099832,0.0028985614307126327,0.0028985537920440353,0.002898555196018556,0.002898557744196111,0.0028985565329785875,0.002898556565537443,0.0028985536444581174,0.959420211345102,0.0028985545917504197,0.0028985546481674006,0.0028985561323525443,0.002898555090255586,0.002898554291926263
avl,https://avl.dk/miljo https://avl.dk/miljo ,Danish,0.0002936861150182793,0.00029368649766407475,0.7045454217440686,0.0002936860960374223,0.00029368616177292257,0.29163665728540644,0.0002936861560001768,0.0002936861822519793,0.00029368610628889607,0.0002936865468537328,0.0002936861255615127,0.00029368609071683707,0.0002936864673607509,0.0002936861500017189,0.00029368627499659785
aalborg,https://www.aalborg.dk/om-kommunen/organisation/miljoe-og-energiforvaltningen https://www.aalborg.dk/miljoe-energi-og-natur https://www.aalborg.dk/politik/strategier-og-politikker https://www.aalborg.dk/business/erhvervsservice-i-aalborg/rammeaftalen-baeredygtig-erhvervsservice https://www.aalborg.dk/om-kommunen/byplanlaegning/temaer-inden-for-byplanlaegning/baeredygtighed-i-byplanlaegning https://www.aalborg.dk/miljoe-energi-og-natur/klima https://www.aalborg.dk/miljoe-energi-og-natur/vaadomraader-og-lavbundsprojekter https://www.aalborg.dk/miljoe-energi-og-natur/baeredygtighedsmanual ,Danish,4.062567833291544e-05,4.062569482966712e-05,0.018254817548030516,4.062567666480049e-05,4.062569260136027e-05,0.03263003647087875,4.0625679311381585e-05,4.062569534334863e-05,4.062567812980634e-05,0.9486276377469495,4.062569012793468e-05,4.0625677836336503e-05,4.0625697915609736e-05,4.062568463436299e-05,4.062568841384572e-05
kefm,https://kefm.dk/klima-og-vejr/konsekvenser-for-klima-miljoe-og-natur https://kefm.dk/klima-og-vejr/klimaindsatsen-i-danmark https://kefm.dk/globale-samarbejder/klimasamarbejde-i-arktis ,Danish,0.00011074210566494299,0.00011074213347558576,0.8274015598867809,0.00011074209675316317,0.0001107421140491539,0.00011074229233251715,0.00011074211750348088,0.00011074214341772766,0.0001107421052510287,0.17115879236172987,0.00011074211126667096,0.00011074213141929803,0.00011074216451912657,0.00011074210384743325,0.00011074213198895426
veluxfoundations,https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/det-stoetter-vi/miljoe https://veluxfoundations.dk/da/miljoe-et-hav-i-balance-viden-og-samarbejde ,Danish,0.00013201336132578328,0.00013201342256257691,0.4163257394656368,0.00013201337693347944,0.0001320133783021805,0.4133663567101255,0.00013201337887791575,0.00013201347259246408,0.00013201339507870282,0.16872374297500253,0.0001320134666896886,0.00013201337259726093,0.00013201341747579634,0.00013201339511046436,0.00013201341168898715
automester,https://automester.dk/miljoe https://automester.dk/miljoe ,Danish,0.8444380974463691,0.0002836884867104733,0.151873954427993,0.0002836881375654866,0.00028368822998193176,0.00028368856361622936,0.0002836882045365824,0.0002836883299794091,0.0002836881796191897,0.0002836884914611866,0.0002836881783658353,0.00028368823862156206,0.00028368867818953257,0.00028368816121773083,0.00028368824577267075
mariagerfjord,https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe https://www.mariagerfjord.dk/Borger/Natur-og-Miljoe/Natur/Naturen---en-rentabel-del-af-landbruget https://www.mariagerfjord.dk/Klima-og-Energi/Groen-energi-i-Mariagerfjord ,Danish,0.00028129441062959534,0.00028129467580103234,0.6882575210367522,0.00028129428737455354,0.0002812943232176661,0.00028129477713188805,0.00028129434260892313,0.0002812944898276827,0.00028129433143818557,0.3080856513825855,0.00028129442401266685,0.00028129431055691517,0.00028129453055172773,0.0002812943297647584,0.0002812943477468012
fmk,https://www.fmk.dk/kontakt-og-aabningstider/fagomraader-og-stabe/by-land-og-kultur/miljoe-og-byg/ https://www.fmk.dk/borger/miljoe-energi-og-affald/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/clean-groen-erhvervsvaekst/ https://www.fmk.dk/testsektion/nyt-fmkdk/borger/natur-og-miljoe/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/groent-diplom/groen-institution/ https://www.fmk.dk/testsektion/nyt-fmkdk/borger/natur-og-miljoe/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/groent-diplom/groent-kontor/ https://www.fmk.dk/borger/miljoe-energi-og-affald/klima-og-energi/det-goer-vi-i-faaborg-midtfyn-kommune/clean-groen-erhvervsvaekst/ ,Danish,0.00027894034781516717,0.0002789405598943138,0.918343737316267,0.000278940334594816,0.00027894048231982377,0.07803003701648777,0.00027894036400677273,0.0002789404905123226,0.00027894035211251323,0.0002789408195371643,0.00027894038030178115,0.0002789403501682782,0.0002789404136434393,0.0002789403887812725,0.0002789403835577858
sundolitt,https://www.sundolitt.com/da/miljo/ https://www.sundolitt.com/da/miljo/ ,Danish,0.00029112101406546774,0.9959243053421017,0.00029112124290599624,0.00029112095666587365,0.0002911209964802215,0.00029112112999876363,0.00029112099696609824,0.00029112105979070297,0.0002911209680112522,0.00029112115414297966,0.0002911209653524603,0.00029112096866278265,0.00029112124264006226,0.000291120970981772,0.00029112099123388536
verdensmaalene,https://www.verdensmaalene.dk/ https://www.verdensmaalene.dk/fakta/verdensmaalene https://www.verdensmaalene.dk/maal/12 https://www.verdensmaalene.dk/fakta/hvad-er-baeredygtig-udvikling ,Danish,9.66184495777342e-05,9.661847730839738e-05,0.9986473412808691,9.661845322976892e-05,9.66184697179554e-05,9.66185343609679e-05,9.661846215236536e-05,9.661849038191899e-05,9.661845947067122e-05,9.661854338795913e-05,9.66184654959117e-05,9.661847049341207e-05,9.661848285716993e-05,9.661845929115737e-05,9.661850140539786e-05
mst,http://mst.dk/ https://mst.dk/natur-vand/vandmiljoe/vandomraadeplaner/ https://mst.dk/erhverv/skovbrug/nationalt-skovprogram/det-nationale-skovprogram/temaer/baeredygtig-produktion/ https://mst.dk/erhverv/groen-virksomhed/groenne-offentlige-myndigheder/baeredygtigt-forbrug/ ,Danish,0.00047281380337439017,0.0004728142230382347,0.9933806044443096,0.00047281372089883974,0.0004728138792415156,0.0004728147874989736,0.0004728137813391606,0.0004728138909571111,0.00047281376324508,0.0004728142398993048,0.0004728138572146129,0.00047281376396840285,0.0004728142094360625,0.00047281377467770587,0.00047281386090107313
cowi,https://www.cowi.dk/loesninger/miljoe https://www.cowi.dk/om-cowi/nyheder-og-presse/cowi-bliver-co2-neutral-i-2020 https://www.cowi.dk/om-cowi/nyheder-og-presse/cowi-reducerer-sit-co2-ftryk-med-over-70-procent-inden-2030-via-ambitiose-tiltag https://www.cowi.dk/insights/co2-opsamling-kan-maaske-afhjaelpe-klimakrisen-men-hvordan-naar-vi-dertil ,Danish,0.00017316044342656682,0.0001731604910948549,0.8139020798191821,0.00017316040148730936,0.00017316044087540823,0.00017316069820689817,0.00017316042865650786,0.0001731604526631959,0.0001731604160331559,0.00017316068136021708,0.00017316042041640514,0.0001731606099873739,0.1838468338352551,0.00017316041706241705,0.00017316044429257433
verdensmaal,https://www.verdensmaal.org/ ,Danish,0.0009950255901874459,0.0009950262040667522,0.9860696305798994,0.0009950257721014113,0.0009950265929730682,0.0009950276205087094,0.000995025732051255,0.000995027221273502,0.0009950258887964716,0.0009950283941827795,0.0009950259730685585,0.000995025588548324,0.0009950264172538322,0.0009950259075594044,0.000995026517528842
un,https://un.dk/da/om-fn/verdensmaalene/ ,Danish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hjoerring,https://hjoerring.dk/selvbetjeningssilo/bolig/byg-og-miljoe https://hjorring.viewer.dkplan.niras.dk/media/1712664/Energiplan_2020_2030_Hjoerring.pdf ,Danish,0.0012345698244662525,0.0012345703796936961,0.5283675795226028,0.001234569380756165,0.0012345702303881503,0.001234570914966077,0.0012345696813751996,0.001234570721418335,0.0012345693888756708,0.4555830118891411,0.0012345697385210887,0.0012345696929140597,0.0012345695764700445,0.0012345695398491771,0.0012345695185623626
venstre,https://www.venstre.dk/politik/principprogram/natur-og-miljoe https://www.venstre.dk/politik/principprogram/natur-og-miljoe ,Danish,0.0002594036485861728,0.0002594043113874546,0.9963683473886865,0.00025940362813388866,0.0002594036496200562,0.0002594039270534954,0.0002594037967217796,0.0002594037318973265,0.0002594036367581952,0.0002594037609839966,0.00025940364558576053,0.00025940363699647766,0.0002594039020305315,0.00025940365354546456,0.00025940368201288444
furesoe,https://www.furesoe.dk/om-kommunen/fakta/organisation/center-for-by-og-miljoe/ https://www.furesoe.dk/oplevelser/velkommen-til-furesoe/miljoe-og-klima/ ,Danish,0.0004385970002066041,0.00043859715761020217,0.3359496347097374,0.00043859693908482295,0.00043859719014562536,0.06416273359027455,0.0004385969796724367,0.00043859715176903857,0.00043859697151909073,0.5946244667731534,0.00043859716185492263,0.00043859698344876223,0.00043859719515715556,0.0004385969787700403,0.0004385972175960315
gentofte,https://www.gentofte.dk/da/Borger/By-og-milj%C3%B8/Milj%C3%B8 https://www.gentofte.dk/da/Borger/By-og-milj%C3%B8/Milj%C3%B8 ,Danish,0.001418441587252117,0.0014184412491157806,0.9801418163545261,0.0014184410232215947,0.001418441826167728,0.001418443161594652,0.0014184411762058584,0.0014184424138792473,0.0014184412798460366,0.0014184440754102172,0.001418441387221946,0.0014184411625538062,0.001418440946883408,0.0014184412214939678,0.0014184411346275423
brk,https://www.brk.dk/ https://www.brk.dk/Indflydelse-Politik/Politikker/Documents/Energipolitik%202040%20Bornholms%20Regionskommune.pdf ,Danish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
