topic,word,weight
TOPIC_0,dæk,6.21805808228458
TOPIC_0,co2,4.353623306177097
TOPIC_0,000,4.044251771348568
TOPIC_0,find,3.349495803394441
TOPIC_0,håndtering,2.456312680914936
TOPIC_0,lokale,2.415479029533905
TOPIC_0,hjemmeside,1.8984694494797292
TOPIC_0,fjernvarme,1.8650666039897927
TOPIC_0,miljøet,1.8634586463250558
TOPIC_0,60,1.853804963602894
TOPIC_0,brugt,1.7770819587108821
TOPIC_0,neutral,1.7396353511398899
TOPIC_0,olie,1.7307728138821712
TOPIC_0,genbrug,1.7279521177253874
TOPIC_0,råvarer,1.7204499959235202
TOPIC_0,50,1.6509363801742576
TOPIC_0,genanvendelse,1.630183570303449
TOPIC_0,affald,1.599679785701213
TOPIC_0,løbende,1.4166405548864798
TOPIC_0,nye,1.3801165199184182
TOPIC_0,hvert,1.3721550016459156
TOPIC_0,30,1.3642128774133575
TOPIC_0,15,1.3402714874695076
TOPIC_0,produkter,1.2273305438889797
TOPIC_0,sidste,1.2220463145561895
TOPIC_1,eps,23.243846403190414
TOPIC_1,produkter,6.868532020784685
TOPIC_1,anvendes,6.104489655289217
TOPIC_1,materialer,5.745476755786158
TOPIC_1,olie,4.955266673957712
TOPIC_1,produktion,4.913872345985254
TOPIC_1,træ,4.8983878712023365
TOPIC_1,byggeri,4.721857193884863
TOPIC_1,kolding,4.7193940851715395
TOPIC_1,ressourcer,4.32796932889235
TOPIC_1,miljøet,4.20366577949334
TOPIC_1,materiale,4.1913572722067105
TOPIC_1,havn,4.0211991372103535
TOPIC_1,energi,3.983621750952069
TOPIC_1,brug,3.761640684573994
TOPIC_1,bruges,3.4388466639883775
TOPIC_1,co2,3.3796481956955855
TOPIC_1,blot,3.3655972191794397
TOPIC_1,genanvendelse,3.2090439011696397
TOPIC_1,produktionen,2.9330747110401143
TOPIC_1,år,2.8101967530542473
TOPIC_1,certificeret,2.7741421190729465
TOPIC_1,bidrager,2.7077816108628436
TOPIC_1,nye,2.7052944074433163
TOPIC_1,genanvendes,2.584854767732084
TOPIC_2,verdensmål,253.7853721571506
TOPIC_2,bæredygtig,235.00384596971037
TOPIC_2,bæredygtighed,181.88359933031896
TOPIC_2,fn,154.4161505256071
TOPIC_2,udvikling,150.82490190437
TOPIC_2,mål,132.27435584133298
TOPIC_2,verdensmålene,123.37482272183202
TOPIC_2,bæredygtige,110.29940829315247
TOPIC_2,arbejde,107.55785213194167
TOPIC_2,17,99.30033973085452
TOPIC_2,både,96.80207411691256
TOPIC_2,sikre,93.8284381579606
TOPIC_2,arbejder,92.38857580247377
TOPIC_2,danmark,87.31467851172016
TOPIC_2,nye,84.83628615203678
TOPIC_2,verden,84.3967986881161
TOPIC_2,fokus,78.76746503200309
TOPIC_2,bæredygtigt,76.76417582263244
TOPIC_2,danske,76.16852166043172
TOPIC_2,år,75.19980723011173
TOPIC_2,samt,74.31470476613589
TOPIC_2,skabe,73.80876762110965
TOPIC_2,forhold,72.342651641131
TOPIC_2,energi,69.01554658403654
TOPIC_2,inden,67.14460442977249
TOPIC_3,børn,1.8447388330864376
TOPIC_3,cradle,1.4311884684163356
TOPIC_3,verdensmål,1.2973264455205573
TOPIC_3,mål,1.2391262935680056
TOPIC_3,verdens,1.1604535837688137
TOPIC_3,bæredygtighed,1.139343302163899
TOPIC_3,verdensmålene,1.0941269295130918
TOPIC_3,fn,1.0820676494975399
TOPIC_3,bedre,1.019821671767218
TOPIC_3,aalborg,0.9764118345500574
TOPIC_3,bæredygtig,0.9602174541759725
TOPIC_3,partnerskaber,0.931731235249933
TOPIC_3,nå,0.9268576721008471
TOPIC_3,indsats,0.925477777013788
TOPIC_3,børns,0.893160457714627
TOPIC_3,dansk,0.8659913309073943
TOPIC_3,10,0.8563323368464207
TOPIC_3,bæredygtige,0.8555860237401858
TOPIC_3,både,0.8549102670897848
TOPIC_3,17,0.8491286288051824
TOPIC_3,virksomheder,0.8448392665635839
TOPIC_3,ressourcer,0.8426851658298373
TOPIC_3,inden,0.8417720852822731
TOPIC_3,verden,0.8407976083326942
TOPIC_3,læs,0.8372182950719478
TOPIC_4,cookies,10.295344640694621
TOPIC_4,information,3.900398488553351
TOPIC_4,verdensmål,3.448373413784798
TOPIC_4,bæredygtighed,3.4134935711420855
TOPIC_4,virksomhed,3.356120806159037
TOPIC_4,bæredygtig,3.104970445843537
TOPIC_4,gang,3.001474762281632
TOPIC_4,læs,2.63474760175892
TOPIC_4,samt,2.524810642624321
TOPIC_4,anvender,2.5103014122393783
TOPIC_4,bruger,2.421129845596205
TOPIC_4,verdensmålene,2.3596012349441895
TOPIC_4,går,2.324446809312028
TOPIC_4,grønne,2.320772066014287
TOPIC_4,første,2.291488987107983
TOPIC_4,mulighed,2.2112347407134765
TOPIC_4,brug,2.167340148065545
TOPIC_4,17,2.156048531166522
TOPIC_4,fn,2.0955878423342167
TOPIC_4,statistik,2.0701355838248117
TOPIC_4,relevant,2.0659669766538653
TOPIC_4,vælge,2.052397673246937
TOPIC_4,materiale,2.0381993387248225
TOPIC_4,hjemmeside,1.9799507167280261
TOPIC_4,oplysninger,1.972176236090551
TOPIC_5,virksomheder,129.331642170774
TOPIC_5,bæredygtighed,93.47085397877741
TOPIC_5,bæredygtig,69.82275784332154
TOPIC_5,virksomhed,65.6613761808395
TOPIC_5,grønne,48.61801150736329
TOPIC_5,nye,44.4450340523043
TOPIC_5,grøn,42.73472745156181
TOPIC_5,bæredygtige,41.52009934502249
TOPIC_5,danske,41.27391714953799
TOPIC_5,arbejde,37.286337236693335
TOPIC_5,fokus,34.37455632015957
TOPIC_5,cirkulær,34.34279138945272
TOPIC_5,forretning,34.0946091349606
TOPIC_5,omstilling,31.86693303131836
TOPIC_5,økonomi,30.406934908784354
TOPIC_5,virksomhedens,30.183495952895843
TOPIC_5,læs,29.054418792690804
TOPIC_5,virksomheden,25.88881649301051
TOPIC_5,projektet,24.40836726146945
TOPIC_5,arbejder,23.47182735581052
TOPIC_5,både,22.8074062544186
TOPIC_5,csr,22.323678901132393
TOPIC_5,viden,21.956443261166054
TOPIC_5,virksomhederne,21.82518903455163
TOPIC_5,udvikling,21.49504118774009
TOPIC_6,bæredygtighed,2.342310869548567
TOPIC_6,miljøet,1.6990870906252757
TOPIC_6,mål,1.6325703014461603
TOPIC_6,verdensmål,1.6083161454732005
TOPIC_6,fn,1.4980488223605035
TOPIC_6,bæredygtige,1.4475346768893687
TOPIC_6,dansk,1.3722677224427953
TOPIC_6,virksomheder,1.3350222444999942
TOPIC_6,produktion,1.3319150798585322
TOPIC_6,verden,1.324348687575858
TOPIC_6,energi,1.3128948283533708
TOPIC_6,sikre,1.3092834188099096
TOPIC_6,nye,1.3081485782936746
TOPIC_6,udvikling,1.2565048581447555
TOPIC_6,2015,1.244572894997477
TOPIC_6,bæredygtig,1.2069961958696627
TOPIC_6,økonomisk,1.197523908584415
TOPIC_6,bygge,1.1789482952592016
TOPIC_6,eu,1.165035984874688
TOPIC_6,arbejde,1.1439950319465437
TOPIC_6,plastik,1.1152668949547544
TOPIC_6,land,1.1064281512948444
TOPIC_6,adgang,1.0776905834969257
TOPIC_6,miljø,1.0776254853397582
TOPIC_6,power,1.0631585276499989
TOPIC_7,2021,8.498427637766532
TOPIC_7,alternativet,7.515323034453352
TOPIC_7,cradle,6.809322394214308
TOPIC_7,kommune,5.277754204047553
TOPIC_7,billund,5.269695315934611
TOPIC_7,danske,4.448918474031947
TOPIC_7,marts,4.311398683142104
TOPIC_7,verdensmål,4.242212971588087
