Id,urls,discourse: Climate change,discourse: Environment,discourse: Green growth,discourse: Sustainability,discourse: UN SDGs,area: Arctic,area: Arctic Norway,area: Extended Arctic,area: Faroed Islands,area: Greenland,area: Iceland,area: Nunavut,area: Sami,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,X-UMAP,Y-UMAP
um,https://um.dk/en/foreign-policy/the-arctic/ https://um.dk/en/news/newsdisplaypage/?newsid=01fc577b-6bf2-4fd7-8572-5af0534cf599 https://um.dk/en/foreign-policy/the-arctic/ https://um.fi/arctic-cooperation https://um.fi/finland-s-chairmanship-of-the-arctic-council-in-2017-2019 https://um.dk/en/foreign-policy/the-arctic/ https://um.dk/en/foreign-policy/the-arctic/ https://um.dk/en/foreign-policy/the-arctic/ https://um.dk/en/foreign-policy/the-arctic/business-financng-in-the-arctic/ ,True,True,True,True,True,True,False,False,False,False,False,False,False,5.437740569657415e-05,5.437747990326934e-05,5.437744086868974e-05,5.437744397573137e-05,5.437750207334796e-05,5.437746058113715e-05,5.437744869916384e-05,5.437743713355885e-05,5.4377459078676486e-05,5.437743761100128e-05,0.0299565648789372,0.9693365280508836,5.437753268693579e-05,5.43775541675986e-05,5.4377467703478815e-05,5.2379961013793945,12.987342834472656
defensenews,https://www.defensenews.com/land/2021/01/21/army-chief-teases-new-arctic-strategy/ https://www.defensenews.com/opinion/commentary/2020/05/11/chinas-strategic-interest-in-the-arctic-goes-beyond-economics/ https://www.defensenews.com/digital-show-dailies/surface-navy-association/2021/01/11/us-navy-rolls-out-new-strategy-for-expanding-arctic-operations/ https://www.defensenews.com/opinion/commentary/2020/05/11/chinas-strategic-interest-in-the-arctic-goes-beyond-economics/ ,True,True,False,True,False,True,False,False,False,False,False,False,False,4.050233471335906e-05,4.050230885364768e-05,4.050228744686753e-05,4.05022830784335e-05,0.0034251643131386,4.050228291461695e-05,4.050229297222986e-05,4.050226891599256e-05,4.050228824707831e-05,4.0502271323236976e-05,0.2575148903673946,0.7385739177365606,4.050233542409106e-05,4.050235109023095e-05,4.050227792626254e-05,4.726509094238281,11.279956817626953
worldwildlife,https://www.worldwildlife.org/places/arctic https://www.worldwildlife.org/places/arctic https://www.worldwildlife.org/places/arctic https://www.worldwildlife.org/species/arctic-fox https://www.worldwildlife.org/places/arctic ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.0001787310492346,0.0001787311816953,0.0001787312178757,0.0001787311678686,0.6585376529390196,0.000178731235148,0.0001787314375543,0.0001787311760264,0.0001787313442831,0.0001787311834414,0.0001787313918134,0.3391388409321724,0.0001787312625031,0.0001787311864466,0.0001787312949165,8.040882110595703,6.414730072021484
maritime-executive,https://maritime-executive.com/editorials/the-arctic-shipping-route-no-one-s-talking-about https://maritime-executive.com/editorials/the-arctic-shipping-route-no-one-s-talking-about ,True,True,False,False,False,True,False,False,False,False,False,False,False,3.644980717396408e-05,3.644986655161479e-05,3.6449841589619536e-05,3.644984378691121e-05,0.5281062685507982,3.644984013044196e-05,3.644986281100244e-05,3.644983139980952e-05,3.644984532991371e-05,3.644983032524615e-05,3.6449877926489485e-05,0.4714198834257179,3.6449868700108256e-05,3.644987025990173e-05,3.644983749893047e-05,8.243719100952148,7.309228897094727
arcticwwf,https://arcticwwf.org/work/climate/ https://arcticwwf.org/ https://arcticwwf.org/work/climate/ https://arcticwwf.org/newsroom/the-circle/sustainable-development-goals/why-the-arctic-needs-the-un-sustainable-development-goals/ https://arcticwwf.org/work/climate/ https://arcticwwf.org/ https://arcticwwf.org/work/climate/ https://arcticwwf.org/ https://arcticwwf.org/ https://arcticwwf.org/work/oil-and-gas/ ,True,True,True,True,True,True,False,False,False,False,False,False,False,3.112356849002637e-05,3.112362168475473e-05,3.112359251937767e-05,3.112359506832135e-05,0.8483743286123794,3.11236059444982e-05,3.112360538422255e-05,3.112359250356698e-05,3.112360655278984e-05,3.112359286014921e-05,3.112363727759828e-05,0.1512210644830617,3.112362035251405e-05,3.112365912011042e-05,3.1123606800881006e-05,6.915783405303955,4.964720726013184
uwyo,http://www-das.uwyo.edu/~geerts/cwx/notes/chap17/arctic.html http://www-das.uwyo.edu/~geerts/cwx/notes/chap17/arctic.html ,True,True,False,False,False,True,False,False,False,False,False,False,False,0.0035244022391629,7.285988936827143e-05,7.285982047330307e-05,7.285988286554388e-05,0.9877338531006924,7.285983263503288e-05,7.285991015769813e-05,7.285980967952365e-05,7.285984285738718e-05,7.28598208063728e-05,7.285985057904947e-05,7.28598886207952e-05,7.285986745517783e-05,0.0078674264192881,7.285982535827379e-05,5.986485958099365,3.4404797554016113
gia,https://www.gia.edu/gems-gemology/summer-2016-diamonds-canadian-arctic-diavik-mine https://www.gia.edu/gems-gemology/summer-2016-diamonds-canadian-arctic-diavik-mine ,False,True,False,True,False,True,False,False,False,False,False,False,False,1.2075116404704828e-05,1.2075124256964624e-05,1.2075121649756277e-05,1.2075121419420234e-05,1.2075135617122831e-05,1.2075120687568363e-05,0.9998309482475524,1.2075117989942148e-05,1.2075123184718518e-05,1.2075118204824728e-05,1.207512960638461e-05,1.207513619321174e-05,1.2075131105513665e-05,1.207513514629253e-05,1.2075120981459472e-05,6.524072170257568,9.23660945892334
noaa,https://www.arctic.noaa.gov/Arctic-News/ArtMID/5556/ArticleID/387/International-Arctic-Buoy-Programme https://www.pmel.noaa.gov/arctic-zone/gallery_np_seasons.html http://www.arctic.noaa.gov/ https://arctic.noaa.gov/report-card/report-card-2020 https://response.restoration.noaa.gov/arctic-erma https://oceanservice.noaa.gov/economy/arctic/ http://www.arctic.noaa.gov/ https://arctic.noaa.gov/report-card/report-card-2020 ,True,True,False,False,False,True,False,False,False,False,False,False,False,4.486319123324227e-05,4.486323500710051e-05,4.486323152704882e-05,4.48632290179356e-05,0.6738111392408426,4.486323232104896e-05,4.486324611394458e-05,4.486321727047299e-05,4.486323748214553e-05,4.486322150177202e-05,4.4863264614963744e-05,0.3256056386453668,4.48633046892806e-05,4.486327306524948e-05,4.4863229946295885e-05,7.902624607086182,6.143673896789551
nwf,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Wild-Places/Arctic https://www.nwf.org/~/media/PDFs/Be%20Out%20There/Schoolyard%20Habitats/ArcticEnvironment.pdf ,False,True,False,False,False,True,False,False,False,False,False,False,False,0.0040397313033202,0.0001053187681094,0.0001053187118653,0.000105318739149,0.7044903725447306,0.0001053187517059,0.0001053188089709,0.0001053187129958,0.000105318805366,0.0001053187058283,0.0001053188001622,0.2902060709168678,0.0001053188038257,0.0001053188401497,0.0001053187869526,7.816555500030518,5.956106662750244
energy,https://www.energy.gov/arctic/arctic-energy-office https://www.energy.gov/arctic/arctic-energy-office https://www.energy.gov/arctic/arctic-energy-office https://www.energy.gov/arctic/arctic-energy-office ,True,True,True,True,False,True,False,False,False,False,False,False,False,0.009965610881161,0.0001598722820259,0.0001598722763121,0.0001598722665792,0.0001598724437437,0.0001598723344385,0.0001598723028615,0.0001598722357937,0.0001598723767369,0.000159872247191,0.0001598724478025,0.94435625545999,0.0437596656996729,0.0001598724243664,0.0001598723213238,5.483551025390625,13.105116844177246
